kernel  	gamma  	  degree	  C	   tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	     cp_gap	   cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	    a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.419047	0.412293   	12.2772	        5	       0.0174094	     0.00707564	        0.296448	       0.144587	   0.291   	0.0333147  	14.0603 	         88	exact       	 1     	    1    	      2	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.25453 	0.412293   	12.2772	        5	       0.0174102	     0.00707565	        0.296448	       0.144587	   0.442002	0.0333097  	14.0603 	         88	exact       	 1     	    1    	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.288039	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.580998	0.0331153  	14.0603 	         88	exact       	 1     	    1    	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.292   	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.326672	0.0331146  	14.0603 	         88	exact       	 1     	    1    	      2	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.206518	0.412293   	12.2772	        5	       0.0174094	     0.00707564	        0.296448	       0.144587	   0.292999	0.0333147  	14.0603 	         88	exact       	 1     	    1    	      2	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.235003	0.412293   	12.2772	        5	       0.0174102	     0.00707565	        0.296448	       0.144587	   0.281002	0.0333097  	14.0603 	         88	exact       	 1     	    1    	      2	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.254523	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.314001	0.0331153  	14.0603 	         88	exact       	 1     	    1    	      2	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.31459 	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.315991	0.0331146  	14.0603 	         88	exact       	 1     	    1    	      2	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.401026	0.412293   	12.2772	        5	       0.0174094	     0.00707564	        0.296448	       0.144587	   0.676039	0.0333147  	14.0603 	         88	exact       	 1     	    1    	      2	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.244528	0.412293   	12.2772	        5	       0.0174102	     0.00707565	        0.296448	       0.144587	   0.294   	0.0333097  	14.0603 	         88	exact       	 1     	    1    	      2	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.306061	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.342965	0.0331153  	14.0603 	         88	exact       	 1     	    1    	      2	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.478002	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.388014	0.0331146  	14.0603 	         88	exact       	 1     	    1    	      2	    0.001	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.322002	0.412293   	12.2772	        5	       0.0174094	     0.00707564	        0.296448	       0.144587	   0.302103	0.0333147  	14.0603 	         88	exact       	 1     	    1    	      4	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.512002	0.412293   	12.2772	        5	       0.0174102	     0.00707565	        0.296448	       0.144587	   0.291001	0.0333097  	14.0603 	         88	exact       	 1     	    1    	      4	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.238005	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.340093	0.0331153  	14.0603 	         88	exact       	 1     	    1    	      4	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.285004	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.431097	0.0331146  	14.0603 	         88	exact       	 1     	    1    	      4	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.270999	0.412293   	12.2772	        5	       0.0174094	     0.00707564	        0.296448	       0.144587	   0.347097	0.0333147  	14.0603 	         88	exact       	 1     	    1    	      4	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.452002	0.412293   	12.2772	        5	       0.0174102	     0.00707565	        0.296448	       0.144587	   0.370093	0.0333097  	14.0603 	         88	exact       	 1     	    1    	      4	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.371015	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.562129	0.0331153  	14.0603 	         88	exact       	 1     	    1    	      4	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0277352	   0.00664179	      0.296641	     0.144704	 0.279999	0.412293   	12.2772	        5	       0.0174096	     0.00707555	        0.296447	       0.144585	   0.453096	0.0331146  	14.0603 	         88	exact       	 1     	    1    	      4	    0.01 	d              	    1e-06
