kernel  	gamma  	  degree	  C	   tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	     cp_gap	   cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	    a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.214678	0.581924   	11.5929	        5	      0.0120179 	    0.000225456	       0.066645 	     0.00869657	  0.507973 	0.0332516  	14.6751 	        178	exact       	 1     	    1    	      2	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.224584	0.581924   	11.5929	        5	      0.0122952 	    0.000236895	       0.0666979	     0.00871041	  0.508681 	0.0253091  	14.7189 	        164	exact       	 1     	    1    	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.209851	0.581924   	11.5929	        5	      0.0119728 	    0.000223199	       0.0666575	     0.00871474	  0.536721 	0.03459    	14.6533 	        162	exact       	 1     	    1    	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.201488	0.581924   	11.5929	        5	      0.0119644 	    0.000222845	       0.0666591	     0.00871471	  0.534837 	0.0345966  	14.6533 	        162	exact       	 1     	    1    	      2	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.197258	0.581924   	11.5929	        5	      0.0120179 	    0.000225456	       0.066645 	     0.00869657	  0.514208 	0.0332516  	14.6751 	        178	exact       	 1     	    1    	      2	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.206845	0.581924   	11.5929	        5	      0.0122952 	    0.000236895	       0.0666979	     0.00871041	  0.485493 	0.0253091  	14.7189 	        164	exact       	 1     	    1    	      2	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.204848	0.581924   	11.5929	        5	      0.0119728 	    0.000223199	       0.0666575	     0.00871474	  0.577086 	0.03459    	14.6533 	        162	exact       	 1     	    1    	      2	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.211689	0.581924   	11.5929	        5	      0.0119644 	    0.000222845	       0.0666591	     0.00871471	  0.522334 	0.0345966  	14.6533 	        162	exact       	 1     	    1    	      2	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.204861	0.581924   	11.5929	        5	      0.0120179 	    0.000225456	       0.066645 	     0.00869657	  0.518728 	0.0332516  	14.6751 	        178	exact       	 1     	    1    	      2	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.221142	0.581924   	11.5929	        5	      0.0122952 	    0.000236895	       0.0666979	     0.00871041	  0.544843 	0.0253091  	14.7189 	        164	exact       	 1     	    1    	      2	    0.001	d              	    0.01
