kernel  	gamma  	  degree	  C	  tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	   cp_gap	   cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	    a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0321395	0.106964 	6.28091	        5	       0.0345784	      0.0230701	        0.285504	       0.120959	 0.0134835 	0.469341   	2.41235 	          2	exact       	 1     	    1    	      2	    0.1  	x              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0331419	0.106964 	6.28091	        5	       0.0346298	      0.0230851	        0.285498	       0.120941	 0.0134835 	0.469215   	2.41309 	          2	exact       	 1     	    1    	      2	    0.1  	x              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0321429	0.106964 	6.28091	        5	       0.03464  	      0.0230726	        0.285512	       0.120917	 0.0144851 	0.469734   	2.41322 	          2	exact       	 1     	    1    	      2	    0.1  	x              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0331419	0.106964 	6.28091	        5	       0.03464  	      0.0230726	        0.285512	       0.120917	 0.0144851 	0.469734   	2.41322 	          2	exact       	 1     	    1    	      2	    0.1  	x              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0331404	0.106964 	6.28091	        5	       0.0368058	      0.0227647	        0.28578 	       0.12147 	 0.0591507 	0.106628   	6.0546  	         74	exact       	 1     	    1    	      2	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0361433	0.106964 	6.28091	        5	       0.0374286	      0.0227409	        0.28565 	       0.121367	 0.0631514 	0.113834   	5.98384 	         72	exact       	 1     	    1    	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0341437	0.106964 	6.28091	        5	       0.0373951	      0.0227344	        0.285666	       0.121359	 0.0716007 	0.114362   	5.98064 	         72	exact       	 1     	    1    	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0341406	0.106964 	6.28091	        5	       0.0373951	      0.0227343	        0.285666	       0.121359	 0.0795984 	0.114366   	5.98064 	         72	exact       	 1     	    1    	      2	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0311403	0.106964 	6.28091	        5	       0.0358901	      0.0230502	        0.285929	       0.121931	 0.0154867 	0.460204   	2.42538 	          3	exact       	 1     	    1    	      2	    0.1  	f              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0341339	0.106964 	6.28091	        5	       0.0357179	      0.0229428	        0.286051	       0.121787	 0.012486  	0.463875   	2.42515 	          3	exact       	 1     	    1    	      2	    0.1  	f              	    0.01
