  features    samples    backtracking 1 it    backtracking 1 f_gap    backtracking 1 time    backtracking 0.1 it    backtracking 0.1 f_gap    backtracking 0.1 time    backtracking 0.01 it    backtracking 0.01 f_gap    backtracking 0.01 time    backtracking 0.0001 it    backtracking 0.0001 f_gap    backtracking 0.0001 time    backtracking 1e-08 it    backtracking 1e-08 f_gap    backtracking 1e-08 time
----------  ---------  -------------------  ----------------------  ---------------------  ---------------------  ------------------------  -----------------------  ----------------------  -------------------------  ------------------------  ------------------------  ---------------------------  --------------------------  -----------------------  --------------------------  -------------------------
        10        200             4.60e+01                2.12e-05               1.66e-01               3.50e+01                  4.83e-04                 1.48e-01                3.50e+01                   4.83e-04                  1.51e-01                  3.50e+01                     4.83e-04                    1.49e-01                 3.50e+01                    4.83e-04                   1.48e-01
        50        200             4.20e+01                3.70e-06               1.82e-01               4.30e+01                  3.82e-05                 1.83e-01                4.30e+01                   3.83e-05                  1.81e-01                  4.30e+01                     3.83e-05                    1.79e-01                 4.30e+01                    3.83e-05                   1.79e-01
       100        100             3.10e+01                3.37e-07               6.88e-02               3.50e+01                  4.30e-06                 6.88e-02                3.50e+01                   4.30e-06                  7.26e-02                  3.50e+01                     4.30e-06                    7.33e-02                 3.50e+01                    4.30e-06                   7.08e-02
       100        500             4.50e+01                2.14e-06               9.38e-01               4.10e+01                  1.71e-04                 9.33e-01                3.30e+01                   8.53e-04                  8.88e-01                  3.30e+01                     8.53e-04                    8.92e-01                 3.30e+01                    8.53e-04                   8.66e-01
       200        500             4.80e+01                1.27e-06               9.50e-01               3.50e+01                  6.09e-05                 8.79e-01                3.70e+01                   4.41e-05                  1.05e+00                  3.70e+01                     4.41e-05                    1.22e+00                 3.70e+01                    4.41e-05                   9.83e-01
       300       1000             4.70e+01                1.11e-06               6.84e+00               4.40e+01                  1.59e-05                 6.54e+00                4.40e+01                   2.18e-05                  6.91e+00                  4.40e+01                     2.18e-05                    6.71e+00                 4.40e+01                    2.18e-05                   6.62e+00
