  features    samples    backtracking 1 it    backtracking 1 f_gap    backtracking 1 time    backtracking 0.1 it    backtracking 0.1 f_gap    backtracking 0.1 time    backtracking 0.01 it    backtracking 0.01 f_gap    backtracking 0.01 time    backtracking 0.0001 it    backtracking 0.0001 f_gap    backtracking 0.0001 time    backtracking 1e-08 it    backtracking 1e-08 f_gap    backtracking 1e-08 time
----------  ---------  -------------------  ----------------------  ---------------------  ---------------------  ------------------------  -----------------------  ----------------------  -------------------------  ------------------------  ------------------------  ---------------------------  --------------------------  -----------------------  --------------------------  -------------------------
        10        200             1.00e+02                9.13e-05               2.46e-01               4.00e+01                  1.19e-03                 2.22e-01                2.80e+01                   5.84e-03                  1.58e-01                  2.80e+01                     5.84e-03                    1.47e-01                 2.80e+01                    5.84e-03                   1.38e-01
        50        200             4.40e+01                5.50e-06               1.81e-01               3.60e+01                  3.90e-04                 1.65e-01                3.60e+01                   6.08e-04                  1.63e-01                  3.60e+01                     6.08e-04                    1.66e-01                 3.60e+01                    6.08e-04                   1.64e-01
       100        100             2.80e+01                1.89e-06               6.28e-02               3.20e+01                  3.94e-06                 6.38e-02                3.20e+01                   3.94e-06                  6.38e-02                  3.20e+01                     3.94e-06                    6.48e-02                 3.20e+01                    3.94e-06                   6.37e-02
       100        500             5.70e+01                5.32e-06               9.70e-01               4.60e+01                  1.21e-04                 9.14e-01                4.30e+01                   1.24e-04                  1.24e+00                  4.30e+01                     1.24e-04                    1.05e+00                 4.30e+01                    1.24e-04                   9.94e-01
       200        500             4.70e+01                6.56e-07               9.52e-01               5.50e+01                  5.78e-07                 9.54e-01                5.40e+01                   1.70e-06                  9.81e-01                  5.40e+01                     1.70e-06                    9.47e-01                 5.40e+01                    1.70e-06                   9.46e-01
       300       1000             4.40e+01                1.47e-07               5.48e+00               4.30e+01                  2.95e-05                 6.06e+00                4.70e+01                   2.48e-06                  6.68e+00                  4.70e+01                     2.63e-06                    6.05e+00                 4.70e+01                    2.63e-06                   5.61e+00
