  features    samples    exact 1 it    exact 1 f_gap    exact 1 time    exact 0.1 it    exact 0.1 f_gap    exact 0.1 time    exact 0.01 it    exact 0.01 f_gap    exact 0.01 time    exact 0.0001 it    exact 0.0001 f_gap    exact 0.0001 time    exact 1e-08 it    exact 1e-08 f_gap    exact 1e-08 time
----------  ---------  ------------  ---------------  --------------  --------------  -----------------  ----------------  ---------------  ------------------  -----------------  -----------------  --------------------  -------------------  ----------------  -------------------  ------------------
        10        200      8.00e+01         7.85e-05        2.15e-01        4.10e+01           9.04e-04          1.66e-01         2.80e+01            2.87e-03           1.45e-01           2.80e+01              2.87e-03             1.47e-01          2.80e+01             2.87e-03            1.64e-01
        50        200      4.20e+01         5.36e-06        2.21e-01        3.90e+01           1.98e-05          3.36e-01         2.40e+01            7.61e-04           2.86e-01           2.40e+01              7.61e-04             1.87e-01          2.40e+01             7.61e-04            1.89e-01
       100        100      1.60e+01         8.42e-07        6.38e-02        1.80e+01           4.57e-06          6.38e-02         1.80e+01            4.57e-06           6.08e-02           1.80e+01              4.57e-06             6.29e-02          1.80e+01             4.57e-06            5.49e-02
       100        500      5.60e+01         5.57e-06        1.05e+00        3.90e+01           1.36e-04          1.06e+00         3.90e+01            1.36e-04           1.33e+00           3.90e+01              1.36e-04             1.32e+00          3.90e+01             1.36e-04            1.24e+00
       200        500      3.70e+01         4.50e-08        1.17e+00        3.70e+01           1.63e-06          1.04e+00         3.70e+01            1.63e-06           1.28e+00           3.70e+01              1.63e-06             1.09e+00          3.70e+01             1.63e-06            9.70e-01
       300       1000      4.50e+01         4.13e-08        5.97e+00        3.60e+01           2.60e-05          8.89e+00         3.60e+01            2.60e-05           5.94e+00           3.60e+01              2.60e-05             6.85e+00          3.60e+01             2.60e-05            6.02e+00
