Kernel  	   C	  alpha tol	  eps	gamma  	  degree	  opt tol	  train avg mse	  train std mse	  test avg mse	test std mse       	  train avg mee	  train std mee	  test avg mee	  test std mee
rbf     	2560	      0.1  	0.01 	auto   	       1	    0.001	       13.3753 	     19.0005   	      13.8034 	19.715195521152477 	        2.59459	     1.80684   	       2.63314	     1.8414
sigmoid 	2560	      0.1  	0.01 	auto   	       1	    0.001	        0      	      0        	       0      	Exception
rbf     	2560	      0.1  	0.001	auto   	       1	    0.001	       13.0431 	     19.022    	      13.432  	19.744047497947957 	        2.53495	     1.86043   	       2.56131	     1.88813
sigmoid 	2560	      0.1  	0.001	auto   	       1	    0.001	        0      	      0        	       0      	Exception
rbf     	2560	      0.1  	0.1  	auto   	       1	    0.001	       46.8887 	     17.7037   	      47.6706 	18.735458793762195 	        6.32981	     0.797     	       6.39305	     0.866671
sigmoid 	2560	      0.1  	0.1  	auto   	       1	    0.001	        0      	      0        	       0      	Exception
rbf     	2560	      0.1  	0.01 	auto   	       1	    1e-05	       32.96   	     22.7127   	      32.8896 	22.535241002259806 	        4.56753	     2.09541   	       4.55829	     2.04539
sigmoid 	2560	      0.1  	0.01 	auto   	       1	    1e-05	        0      	      0        	       0      	Exception
rbf     	2560	      0.1  	0.001	auto   	       1	    1e-05	       32.1707 	     23.3993   	      31.4943 	22.817237496567188 	        4.40536	     2.29001   	       4.35352	     2.23641
sigmoid 	2560	      0.1  	0.001	auto   	       1	    1e-05	        0      	      0        	       0      	Exception
rbf     	2560	      0.1  	0.1  	auto   	       1	    1e-05	       60.3836 	     22.6841   	      62.2012 	24.15154558423179  	        7.00711	     1.35352   	       7.14469	     1.33813
sigmoid 	2560	      0.1  	0.1  	auto   	       1	    1e-05	        0      	      0        	       0      	Exception
rbf     	2560	      0.1  	0.01 	auto   	       1	    1e-07	       32.3253 	     23.3133   	      32.7673 	23.594022599420086 	        4.39582	     2.22459   	       4.41456	     2.19876
sigmoid 	2560	      0.1  	0.01 	auto   	       1	    1e-07	        0      	      0        	       0      	Exception
rbf     	2560	      0.1  	0.001	auto   	       1	    1e-07	       32.4008 	     23.5955   	      31.9471 	22.9981518610697   	        4.41966	     2.30552   	       4.43687	     2.25074
sigmoid 	2560	      0.1  	0.001	auto   	       1	    1e-07	        0      	      0        	       0      	Exception
rbf     	2560	      0.1  	0.1  	auto   	       1	    1e-07	       48.7081 	     16.6159   	      49.9125 	18.886549273656023 	        6.49727	     0.837851  	       6.54153	     0.964894
sigmoid 	2560	      0.1  	0.1  	auto   	       1	    1e-07	        0      	      0        	       0      	Exception
rbf     	2560	      0.001	0.01 	auto   	       1	    0.001	       32.5963 	     23.4621   	      31.0838 	22.08269080215181  	        4.48236	     2.28267   	       4.41718	     2.19216
sigmoid 	2560	      0.001	0.01 	auto   	       1	    0.001	        0      	      0        	       0      	Exception
rbf     	2560	      0.001	0.001	auto   	       1	    0.001	       41.6748 	     19.1177   	      42.1992 	19.20171677825105  	        5.333  	     1.87082   	       5.3903 	     1.85049
sigmoid 	2560	      0.001	0.001	auto   	       1	    0.001	        0      	      0        	       0      	Exception
rbf     	2560	      0.001	0.1  	auto   	       1	    0.001	       47.0122 	     18.5532   	      47.3092 	18.182300874764646 	        6.44008	     1.06225   	       6.47252	     1.05399
sigmoid 	2560	      0.001	0.1  	auto   	       1	    0.001	        0      	      0        	       0      	Exception
rbf     	2560	      0.001	0.01 	auto   	       1	    1e-05	       23.55   	     22.9642   	      23.1596 	22.239183051067936 	        3.67476	     2.14973   	       3.65642	     2.06424
