Kernel  	  C	  eps	gamma  	  degree	  opt tol	  tr/val split	  train avg mse	  train std mse	  test avg mse	test std mse  	  train avg mae	  train std mae	  test avg mae	  test std mae
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.933398	              0	      0.977598	0.0           	       0.826393	              0	      0.862923	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.801537	              0	      0.768859	0.0           	       0.734041	              0	      0.720814	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.628599	              0	      0.591862	0.0           	       0.635338	              0	      0.618985	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.881939	              0	      0.792033	0.0           	       0.745525	              0	      0.707188	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.911604	              0	      0.947759	0.0           	       0.824163	              0	      0.844903	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.08934 	              0	      1.07249 	0.0           	       0.863913	              0	      0.859337	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.20113 	              0	      1.16259 	0.0           	       0.769056	              0	      0.754119	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.953453	              0	      1.0822  	0.0           	       0.690976	              0	      0.729675	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.00607 	              0	      0.999885	0.0           	       0.876993	              0	      0.878829	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.698285	              0	      0.734231	0.0           	       0.693131	              0	      0.712759	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.27714 	              0	      1.22784 	0.0           	       0.875007	              0	      0.839564	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.834569	              0	      0.954317	0.0           	       0.732213	              0	      0.788322	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.944988	              0	      0.865237	0.0           	       0.844449	              0	      0.804082	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.17633 	              0	      1.22047 	0.0           	       0.950252	              0	      0.963084	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.835398	              0	      0.895983	0.0           	       0.670422	              0	      0.689995	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       1.16834 	              0	      1.12938 	0.0           	       0.951791	              0	      0.926802	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.897022	              0	      0.893547	0.0           	       0.81804 	              0	      0.818597	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.986023	              0	      1.03202 	0.0           	       0.863494	              0	      0.890732	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.37906 	              0	      1.38642 	0.0           	       1.02969 	              0	      1.02571 	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.976513	              0	      0.998768	0.0           	       0.853832	              0	      0.879974	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.779032	              0	      0.822545	0.0           	       0.744188	              0	      0.766544	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.728936	              0	      0.729493	0.0           	       0.668688	              0	      0.68003 	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.32019 	              0	      1.33981 	0.0           	       1.00005 	              0	      1.01781 	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.918759	              0	      0.914394	0.0           	       0.828374	              0	      0.831999	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.973656	              0	      1.01118 	0.0           	       0.855705	              0	      0.890445	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.797135	              0	      0.74978 	0.0           	       0.745222	              0	      0.714673	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.1116  	              0	      1.11419 	0.0           	       0.923976	              0	      0.922219	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.13853 	              0	      1.08802 	0.0           	       0.820344	              0	      0.783591	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.793529	              0	      0.845304	0.0           	       0.721729	              0	      0.735962	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.02688 	              0	      1.05099 	0.0           	       0.863296	              0	      0.88662 	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.03434 	              0	      1.04737 	0.0           	       0.779876	              0	      0.773257	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.864195	              0	      0.780785	0.0           	       0.802732	              0	      0.752644	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.16896 	              0	      1.21894 	0.0           	       0.852718	              0	      0.874411	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.965738	              0	      0.940578	0.0           	       0.855698	              0	      0.839499	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       1.16976 	              0	      1.15269 	0.0           	       0.951441	              0	      0.941859	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       1.02806 	              0	      0.989717	0.0           	       0.882062	              0	      0.868235	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.701927	              0	      0.692903	0.0           	       0.661542	              0	      0.653597	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.995592	              0	      1.06315 	0.0           	       0.649027	              0	      0.668817	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.27269 	              0	      1.29267 	0.0           	       0.987343	              0	      0.996627	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.38211 	              0	      1.47263 	0.0           	       1.01321 	              0	      1.06472 	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.03911 	              0	      1.02447 	0.0           	       0.890812	              0	      0.880769	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.999442	              0	      1.00654 	0.0           	       0.872707	              0	      0.868836	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.06928 	              0	      1.06862 	0.0           	       0.906467	              0	      0.905765	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.798729	              0	      0.818652	0.0           	       0.743328	              0	      0.755826	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.929215	              0	      0.842683	0.0           	       0.698312	              0	      0.66697 	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.931224	              0	      0.971098	0.0           	       0.835579	              0	      0.854162	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.946697	              0	      0.959693	0.0           	       0.846317	              0	      0.844819	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.845839	              0	      0.850693	0.0           	       0.791299	              0	      0.792524	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.853359	              0	      0.873516	0.0           	       0.741193	              0	      0.745237	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.03954 	              0	      1.10953 	0.0           	       0.88996 	              0	      0.920107	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.855504	              0	      0.942322	0.0           	       0.788761	              0	      0.833765	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.882007	              0	      0.858609	0.0           	       0.749251	              0	      0.743201	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.861207	              0	      0.832165	0.0           	       0.751458	              0	      0.742273	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.994229	              0	      0.933953	0.0           	       0.872584	              0	      0.835074	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.983343	              0	      1.0947  	0.0           	       0.655685	              0	      0.694161	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.992279	              0	      0.927986	0.0           	       0.721233	              0	      0.707306	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.0584  	              0	      1.12922 	0.0           	       0.798112	              0	      0.837919	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.30976 	              0	      1.36038 	0.0           	       1.00108 	              0	      1.02352 	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.28096 	              0	      1.48741 	0.0           	       0.892416	              0	      0.958589	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.936035	              0	      0.975368	0.0           	       0.813428	              0	      0.818662	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.868762	              0	      0.894953	0.0           	       0.804948	              0	      0.812242	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.963839	              0	      0.964232	0.0           	       0.687682	              0	      0.69129 	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.15354 	              0	      1.15383 	0.0           	       0.942619	              0	      0.945687	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.762524	              0	      0.793003	0.0           	       0.737405	              0	      0.744225	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.07228 	              0	      1.04476 	0.0           	       0.905859	              0	      0.889208	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.915206	              0	      1.03577 	0.0           	       0.820412	              0	      0.883929	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.963849	              0	      0.948434	0.0           	       0.78983 	              0	      0.782646	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.969593	              0	      0.988663	0.0           	       0.863949	              0	      0.864106	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.17642 	              0	      1.21605 	0.0           	       0.950185	              0	      0.973409	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       1.23257 	              0	      1.31756 	0.0           	       0.97435 	              0	      1.0064  	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.732326	              0	      0.710852	0.0           	       0.673865	              0	      0.669764	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.807588	              0	      0.821107	0.0           	       0.763552	              0	      0.76652 	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.997765	              0	      1.023   	0.0           	       0.870891	              0	      0.87896 	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.798579	              0	      0.800699	0.0           	       0.732318	              0	      0.733181	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.43163 	              0	      1.37332 	0.0           	       0.970032	              0	      0.938616	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.878281	              0	      0.919825	0.0           	       0.743922	              0	      0.761713	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.15921 	              0	      1.17749 	0.0           	       0.943173	              0	      0.958435	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.861972	              0	      0.856848	0.0           	       0.745621	              0	      0.751419	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.973875	              0	      0.952812	0.0           	       0.859577	              0	      0.849634	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.684791	              0	      0.614697	0.0           	       0.644368	              0	      0.600416	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.02912 	              0	      1.02545 	0.0           	       0.889372	              0	      0.887031	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.17926 	              0	      1.18753 	0.0           	       0.951392	              0	      0.960156	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.29716 	              0	      1.31166 	0.0           	       0.913665	              0	      0.929947	             0
