  Monk	Kernel  	Gamma  	  Degree	    C	  opt tol	train mse          	  test mse	  train acc	  test acc
     1	rbf     	scale  	       1	  5  	    0.1  	0.28225806451612906	  0.319444	   0.717742	  0.680556
     1	poly    	scale  	       3	  5  	    0.1  	0.2661290322580645 	  0.310185	   0.733871	  0.689815
     1	poly    	scale  	       5	  5  	    0.1  	0.1935483870967742 	  0.280093	   0.806452	  0.719907
     1	poly    	scale  	       7	  5  	    0.1  	0.1532258064516129 	  0.243056	   0.846774	  0.756944
     1	linear  	scale  	       1	  5  	    0.1  	0.29838709677419356	  0.347222	   0.701613	  0.652778
     1	rbf     	auto   	       1	  5  	    0.001	0.2903225806451613 	  0.3125  	   0.709677	  0.6875
     1	rbf     	scale  	       1	  5  	    0.001	0.2903225806451613 	  0.3125  	   0.709677	  0.6875
     1	poly    	scale  	       3	  5  	    0.001	0.2661290322580645 	  0.310185	   0.733871	  0.689815
     1	poly    	scale  	       5	  5  	    0.001	0.1935483870967742 	  0.273148	   0.806452	  0.726852
     1	poly    	scale  	       7	  5  	    0.001	0.1532258064516129 	  0.247685	   0.846774	  0.752315
     1	linear  	scale  	       1	  5  	    0.001	0.3064516129032258 	  0.349537	   0.693548	  0.650463
     1	rbf     	auto   	       1	  5  	    1e-08	0.2903225806451613 	  0.3125  	   0.709677	  0.6875
     1	rbf     	scale  	       1	  5  	    1e-08	0.2903225806451613 	  0.3125  	   0.709677	  0.6875
     1	poly    	scale  	       3	  5  	    1e-08	0.2661290322580645 	  0.3125  	   0.733871	  0.6875
     1	poly    	scale  	       5	  5  	    1e-08	0.1935483870967742 	  0.273148	   0.806452	  0.726852
     1	poly    	scale  	       7	  5  	    1e-08	0.1532258064516129 	  0.247685	   0.846774	  0.752315
     1	linear  	scale  	       1	  5  	    1e-08	0.3064516129032258 	  0.349537	   0.693548	  0.650463
     1	rbf     	auto   	       1	 10  	    0.1  	0.2661290322580645 	  0.30787 	   0.733871	  0.69213
     1	rbf     	scale  	       1	 10  	    0.1  	0.2661290322580645 	  0.30787 	   0.733871	  0.69213
     1	poly    	scale  	       3	 10  	    0.1  	0.23387096774193547	  0.298611	   0.766129	  0.701389
     1	poly    	scale  	       5	 10  	    0.1  	0.16129032258064516	  0.25    	   0.83871 	  0.75
     1	poly    	scale  	       7	 10  	    0.1  	0.12096774193548387	  0.226852	   0.879032	  0.773148
