Kernel  	    C	   eps	gamma  	  degree	  opt tol	  tr/val split	  train avg mse	  train std mse	  test avg mse	test std mse        	  train avg mae	  train std mae	  test avg mae	  test std mae
rbf     	  0.1	0.0001	auto   	       1	    0.1  	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.0001	scale  	       1	    0.1  	          0.5 	       0.960038	      0.160387 	      0.954901	0.16511431019079267 	       0.807746	      0.101136 	      0.805748	     0.104137
rbf     	  0.1	0.0001	scale  	       1	    0.1  	          0.33	       0       	      0        	      0       	Exception
rbf     	  0.1	0.0001	scale  	       1	    0.1  	          0.2 	       0       	      0        	      0       	Exception
poly    	  0.1	0.0001	scale  	       3	    0.1  	          0.5 	       0.955029	      0.145398 	      0.951153	0.14983695758628576 	       0.780979	      0.0964312	      0.776421	     0.100309
poly    	  0.1	0.0001	scale  	       3	    0.1  	          0.33	       0.906897	      0.129218 	      0.900827	0.1517871285858212  	       0.766607	      0.105537 	      0.763773	     0.117315
poly    	  0.1	0.0001	scale  	       3	    0.1  	          0.2 	       1.03242 	      0.0940825	      1.05091 	0.08370410837317206 	       0.856586	      0.0709022	      0.864064	     0.0716821
poly    	  0.1	0.0001	scale  	       5	    0.1  	          0.5 	       0.987658	      0.109429 	      1.03446 	0.10719885475619319 	       0.804442	      0.114575 	      0.822137	     0.110643
poly    	  0.1	0.0001	scale  	       5	    0.1  	          0.33	       0.944227	      0.0898895	      0.95783 	0.08006966060354337 	       0.77921 	      0.10521  	      0.78351 	     0.097465
poly    	  0.1	0.0001	scale  	       5	    0.1  	          0.2 	       0.951647	      0.0679441	      0.973785	0.08916737722551486 	       0.777258	      0.0983842	      0.788674	     0.109852
poly    	  0.1	0.0001	scale  	       7	    0.1  	          0.5 	       0.917128	      0.0479728	      0.937344	0.05997008604621891 	       0.760285	      0.0818185	      0.767829	     0.0793973
poly    	  0.1	0.0001	scale  	       7	    0.1  	          0.33	       0.912158	      0.0729017	      0.917371	0.07373589257320597 	       0.752813	      0.0836384	      0.756018	     0.0859339
poly    	  0.1	0.0001	scale  	       7	    0.1  	          0.2 	       0.941374	      0.0399035	      0.927643	0.0463262857992891  	       0.740198	      0.0978565	      0.735991	     0.0924487
linear  	  0.1	0.0001	scale  	       1	    0.1  	          0.5 	       0.924404	      0.196017 	      0.922043	0.1676339022974811  	       0.786891	      0.10283  	      0.784859	     0.0955442
linear  	  0.1	0.0001	scale  	       1	    0.1  	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	0.0001	scale  	       1	    0.1  	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	1e-08 	auto   	       1	    0.1  	          0.5 	       0.935206	      0.11515  	      0.95462 	0.12848465540204318 	       0.777076	      0.100545 	      0.784647	     0.106177
rbf     	  0.1	1e-08 	auto   	       1	    0.1  	          0.33	       0.948142	      0.123907 	      0.938631	0.151697886887022   	       0.794302	      0.101144 	      0.789103	     0.105955
rbf     	  0.1	1e-08 	auto   	       1	    0.1  	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	1e-08 	scale  	       1	    0.1  	          0.5 	       0.97701 	      0.105832 	      0.963768	0.12315299972362914 	       0.821404	      0.0913529	      0.815248	     0.0972213
rbf     	  0.1	1e-08 	scale  	       1	    0.1  	          0.33	       0.895162	      0.1437   	      0.919378	0.153691056839354   	       0.775434	      0.108849 	      0.785247	     0.110752
rbf     	  0.1	1e-08 	scale  	       1	    0.1  	          0.2 	       0.964707	      0.112519 	      0.947874	0.10841522574332658 	       0.801896	      0.10285  	      0.795564	     0.103343
poly    	  0.1	1e-08 	scale  	       3	    0.1  	          0.5 	       0.989675	      0.076233 	      0.989428	0.08040644355080166 	       0.840704	      0.0883812	      0.837546	     0.083418
poly    	  0.1	1e-08 	scale  	       3	    0.1  	          0.33	       0.905234	      0.112044 	      0.921164	0.09257849733264549 	       0.753349	      0.107685 	      0.757162	     0.0957984
poly    	  0.1	1e-08 	scale  	       3	    0.1  	          0.2 	       0.948304	      0.155229 	      0.956643	0.14324443670714027 	       0.788983	      0.112022 	      0.788419	     0.0970957
poly    	  0.1	1e-08 	scale  	       5	    0.1  	          0.5 	       0.954497	      0.0894654	      0.951652	0.1050023507388959  	       0.781563	      0.0979008	      0.77875 	     0.101143
poly    	  0.1	1e-08 	scale  	       5	    0.1  	          0.33	       0.948165	      0.128085 	      0.957857	0.1445920574513203  	       0.792481	      0.117795 	      0.79749 	     0.130424
poly    	  0.1	1e-08 	scale  	       5	    0.1  	          0.2 	       0.964556	      0.114043 	      0.995558	0.12892225319600317 	       0.765501	      0.110728 	      0.779078	     0.11306
poly    	  0.1	1e-08 	scale  	       7	    0.1  	          0.5 	       0.947693	      0.0861444	      0.9383  	0.07900238460537748 	       0.774919	      0.110308 	      0.770674	     0.1002
poly    	  0.1	1e-08 	scale  	       7	    0.1  	          0.33	       0.974502	      0.115263 	      0.995484	0.11842577371167698 	       0.758054	      0.112112 	      0.766731	     0.113592
poly    	  0.1	1e-08 	scale  	       7	    0.1  	          0.2 	       0.960701	      0.0795463	      0.944087	0.07159561847694493 	       0.77023 	      0.0999534	      0.759533	     0.0886717
linear  	  0.1	1e-08 	scale  	       1	    0.1  	          0.5 	       1.05276 	      0.431409 	      1.07926 	0.4501331801431346  	       0.821618	      0.167079 	      0.829979	     0.168915
linear  	  0.1	1e-08 	scale  	       1	    0.1  	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	1e-08 	scale  	       1	    0.1  	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.1   	auto   	       1	    0.001	          0.5 	       0.932377	      0.101965 	      0.929587	0.10508963800754659 	       0.772408	      0.0883174	      0.77227 	     0.0865227
rbf     	  0.1	0.1   	auto   	       1	    0.001	          0.33	       0.97607 	      0.0731285	      0.951016	0.07793864988827126 	       0.825257	      0.0842742	      0.812353	     0.0870554
rbf     	  0.1	0.1   	auto   	       1	    0.001	          0.2 	       0.921624	      0.0912021	      0.896627	0.1107698997633043  	       0.78125 	      0.0963071	      0.770184	     0.101504
rbf     	  0.1	0.1   	scale  	       1	    0.001	          0.5 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.1   	scale  	       1	    0.001	          0.33	       0.930626	      0.129124 	      0.934481	0.12720083608040614 	       0.796041	      0.102583 	      0.796298	     0.10527
rbf     	  0.1	0.1   	scale  	       1	    0.001	          0.2 	       0       	      0        	      0       	Exception
poly    	  0.1	0.1   	scale  	       3	    0.001	          0.5 	       0.934652	      0.0734986	      0.95377 	0.08834115787776532 	       0.758023	      0.0991525	      0.768169	     0.103286
poly    	  0.1	0.1   	scale  	       3	    0.001	          0.33	       0.969915	      0.0597643	      0.978873	0.030231285459401312	       0.829406	      0.0784928	      0.833307	     0.0626533
poly    	  0.1	0.1   	scale  	       3	    0.001	          0.2 	       0.944056	      0.117852 	      0.944503	0.13684130175408749 	       0.805517	      0.10054  	      0.805465	     0.110211
poly    	  0.1	0.1   	scale  	       5	    0.001	          0.5 	       1.03089 	      0.117144 	      1.04312 	0.13847840787169463 	       0.826774	      0.0841065	      0.833251	     0.0910183
poly    	  0.1	0.1   	scale  	       5	    0.001	          0.33	       0.976539	      0.0528488	      0.992994	0.050401839138269455	       0.795736	      0.0951678	      0.802831	     0.0910301
poly    	  0.1	0.1   	scale  	       5	    0.001	          0.2 	       0.929071	      0.154455 	      0.910564	0.14412204768521758 	       0.74849 	      0.108704 	      0.739679	     0.101129
poly    	  0.1	0.1   	scale  	       7	    0.001	          0.5 	       0.947782	      0.07371  	      0.957378	0.06704222789974405 	       0.783415	      0.0947887	      0.788187	     0.0961599
poly    	  0.1	0.1   	scale  	       7	    0.001	          0.33	       0.955105	      0.0660468	      0.940347	0.06802173627140834 	       0.718088	      0.0814807	      0.714779	     0.0795163
poly    	  0.1	0.1   	scale  	       7	    0.001	          0.2 	       0.964359	      0.109178 	      0.946559	0.12009328731401031 	       0.750789	      0.0980676	      0.742557	     0.0955586
linear  	  0.1	0.1   	scale  	       1	    0.001	          0.5 	       0       	      0        	      0       	Exception
linear  	  0.1	0.1   	scale  	       1	    0.001	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	0.1   	scale  	       1	    0.001	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.01  	auto   	       1	    0.001	          0.5 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.01  	auto   	       1	    0.001	          0.33	       0       	      0        	      0       	Exception
rbf     	  0.1	0.01  	auto   	       1	    0.001	          0.2 	       1.01304 	      0.214676 	      1.01527 	0.21605034772075166 	       0.803777	      0.119556 	      0.80571 	     0.115659
rbf     	  0.1	0.01  	scale  	       1	    0.001	          0.5 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.01  	scale  	       1	    0.001	          0.33	       0.984805	      0.0888549	      0.992843	0.09540767296493555 	       0.823275	      0.0894215	      0.827002	     0.0902141
rbf     	  0.1	0.01  	scale  	       1	    0.001	          0.2 	       0       	      0        	      0       	Exception
poly    	  0.1	0.01  	scale  	       3	    0.001	          0.5 	       0.955246	      0.071845 	      0.958711	0.08134982579174342 	       0.777793	      0.100573 	      0.780192	     0.102215
poly    	  0.1	0.01  	scale  	       3	    0.001	          0.33	       0.986073	      0.0885953	      0.986532	0.11904221669978787 	       0.803149	      0.100852 	      0.80526 	     0.11653
poly    	  0.1	0.01  	scale  	       3	    0.001	          0.2 	       0.976063	      0.0940893	      0.977903	0.11442809254708762 	       0.772582	      0.0952482	      0.775504	     0.0926499
poly    	  0.1	0.01  	scale  	       5	    0.001	          0.5 	       0.987206	      0.0572024	      1.00251 	0.08602374657500926 	       0.803986	      0.0917688	      0.8113  	     0.0976967
poly    	  0.1	0.01  	scale  	       5	    0.001	          0.33	       0       	      0        	      0       	Exception
poly    	  0.1	0.01  	scale  	       5	    0.001	          0.2 	       1.02113 	      0.0889626	      1.03373 	0.11220252025352928 	       0.836703	      0.0840475	      0.846268	     0.0924949
poly    	  0.1	0.01  	scale  	       7	    0.001	          0.5 	       0.968082	      0.105117 	      0.985188	0.11853065362847727 	       0.789622	      0.106411 	      0.793603	     0.110036
poly    	  0.1	0.01  	scale  	       7	    0.001	          0.33	       0.958738	      0.133566 	      0.976607	0.13639412760838282 	       0.748094	      0.106735 	      0.75992 	     0.110726
poly    	  0.1	0.01  	scale  	       7	    0.001	          0.2 	       0.966928	      0.041246 	      0.968568	0.052692453270945835	       0.788245	      0.101919 	      0.785713	     0.103599
linear  	  0.1	0.01  	scale  	       1	    0.001	          0.5 	       0       	      0        	      0       	Exception
linear  	  0.1	0.01  	scale  	       1	    0.001	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	0.01  	scale  	       1	    0.001	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.0001	auto   	       1	    0.001	          0.5 	       0.914913	      0.105375 	      0.898968	0.12273059055504255 	       0.747569	      0.0943653	      0.743327	     0.104534
rbf     	  0.1	0.0001	auto   	       1	    0.001	          0.33	       1.00007 	      0.101807 	      1.00357 	0.10162227001364554 	       0.819405	      0.0937994	      0.818856	     0.0920859
rbf     	  0.1	0.0001	auto   	       1	    0.001	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.0001	scale  	       1	    0.001	          0.5 	       0.925496	      0.127749 	      0.942671	0.12193093208386985 	       0.760778	      0.105453 	      0.767912	     0.0973492
rbf     	  0.1	0.0001	scale  	       1	    0.001	          0.33	       0.888498	      0.126712 	      0.881316	0.14284126865719932 	       0.736222	      0.0997316	      0.73405 	     0.107136
rbf     	  0.1	0.0001	scale  	       1	    0.001	          0.2 	       0       	      0        	      0       	Exception
poly    	  0.1	0.0001	scale  	       3	    0.001	          0.5 	       1.00199 	      0.08908  	      0.997459	0.10558070155678768 	       0.840137	      0.0829719	      0.839967	     0.0898625
