rbf	1	0.001	0.1	auto	1	1e-05	102.22	13.166	517.973	499.904	9.45813	0.837907	18.3033	10.5533
rbf	1	0.001	0.1	scale	1	1e-05	86.1674	22.7007	692.201	418.063	8.3962	0.879491	22.8602	8.67747
sigmoid	1	0.001	0.1	scale	1	1e-05	101.541	29.7928	1414.84	990.109	9.14725	1.15331	30.7093	14.6423
sigmoid	1	0.001	0.1	auto	1	1e-05	97.4771	23.4169	311.18	251.611	9.36717	1.1655	14.8794	6.53543
sigmoid	1	0.1	0.001	scale	1	1e-07	51.6152	0.7316	955.723	760.114	6.32638	0.189283	25.1151	10.0786
rbf	1	0.001	0.01	auto	1	1e-05	44.2504	4.37724	1300.85	525.701	5.88236	0.466244	31.723	8.97262
rbf	1	0.1	0.001	scale	1	1e-07	52.3866	1.86261	1611.36	333.673	6.42888	0.263298	35.3998	4.41294
sigmoid	1	0.001	0.01	auto	1	1e-05	51.2404	9.74107	560.93	530.238	6.10733	0.704529	18.4912	10.6635
sigmoid	1	0.001	0.01	scale	1	1e-05	53.8089	1.93161	1782.4	936.279	6.29932	0.344533	35.8835	12.1376
rbf	1	0.001	0.001	auto	1	1e-05	48.6206	4.73778	557.371	566.267	6.06843	0.258974	18.9478	9.72757
sigmoid	1	0.001	0.001	auto	1	1e-05	nan	nan	nan	nan	nan	nan	nan	nan
rbf	1	0.001	0.01	scale	1	1e-05	51.6438	1.33351	1291.13	386.497	6.22243	0.114884	31.274	5.25238
rbf	1	0.1	0.01	scale	1	1e-07	52.6609	2.32894	1433.08	356.826	6.16541	0.136084	33.1706	4.59177
sigmoid	1	0.001	0.001	scale	1	1e-05	53.3434	1.58631	1759.65	934.851	6.45194	0.33178	35.7839	12.3108
rbf	1	0.001	0.1	auto	1	1e-07	105.036	22.2285	861.159	404.476	9.9082	1.10293	25.4235	8.97544
sigmoid	1	0.001	0.1	auto	1	1e-07	86.3021	11.8845	397.992	243.96	8.93896	0.533506	17.3079	6.2787
sigmoid	1	0.001	0.1	scale	1	1e-07	76.5538	3.91369	1871.82	872.154	8.14048	0.278877	37.1272	13.418
rbf	1	0.001	0.01	auto	1	1e-07	45.4937	5.28793	1054.06	634.672	6.02779	0.287383	27.4522	10.896
rbf	1	0.001	0.001	scale	1	1e-05	53.5042	2.55366	1471.41	418.402	6.52808	0.357215	33.4595	5.56542
rbf	1	0.001	0.1	scale	1	1e-07	82.7482	21.0798	664.339	410.703	8.18283	0.807778	22.0507	8.6069
sigmoid	1	0.001	0.01	auto	1	1e-07	55.6908	15.3037	349.835	401.072	6.38138	0.653875	14.6275	8.30061
sigmoid	1	0.001	0.001	auto	1	1e-07	nan	nan	nan	nan	nan	nan	nan	nan
rbf	1	0.001	0.001	auto	1	1e-07	46.5342	10.5545	1355.06	530.211	5.72458	0.302349	32.4745	8.96871
rbf	1	1e-05	0.1	scale	1	0.001	88.4154	20.0816	685.12	430.521	8.6132	1.05078	22.4202	8.82925
rbf	1	1e-05	0.1	auto	1	0.001	122.049	24.1617	688.876	446.722	10.188	1.05871	22.2121	9.41565
sigmoid	1	1e-05	0.1	auto	1	0.001	88.3193	11.6674	393.201	248.811	8.96965	0.62861	16.8853	6.58717
sigmoid	1	1e-05	0.1	scale	1	0.001	95.2232	19.7558	1051.52	1082.81	8.87234	0.862776	25.0583	16.3047
rbf	1	1e-05	0.01	auto	1	0.001	47.7709	8.84839	1085.63	638.244	5.86601	0.278518	28.1103	11.0298
rbf	1	1e-05	0.01	scale	1	0.001	52.9626	3.76576	1727.99	117.008	6.47233	0.381798	37.0782	1.62845
sigmoid	1	1e-05	0.01	scale	1	0.001	52.6661	1.61911	1024.9	873.154	6.24491	0.230577	25.8684	11.4458
sigmoid	1	1e-05	0.01	auto	1	0.001	nan	nan	nan	nan	nan	nan	nan	nan
rbf	1	1e-05	0.001	auto	1	0.001	46.7558	5.84105	805.937	632.346	5.89214	0.222856	23.2989	10.8809
rbf	1	1e-05	0.001	scale	1	0.001	54.8302	4.53722	1465.55	376.919	6.63797	0.448137	33.4189	4.8717
sigmoid	1	0.001	0.01	scale	1	1e-07	55.4833	4.90184	1376.69	956.019	6.28908	0.268779	30.3863	12.4626
sigmoid	1	1e-05	0.001	scale	1	0.001	52.0323	1.4719	2181.77	815.19	6.51338	0.190901	40.9762	10.7835
sigmoid	1	1e-05	0.001	auto	1	0.001	47.1713	9.77307	538.562	510.62	6.15547	0.641713	18.3711	10.546
sigmoid	1	0.001	0.001	scale	1	1e-07	53.6234	2.68709	1776.23	958.726	6.43496	0.318273	35.7767	12.466
rbf	1	1e-05	0.1	auto	1	1e-05	104.679	14.8635	693.494	477.234	9.71759	0.828386	21.9608	10.0703
rbf	1	1e-05	0.1	scale	1	1e-05	85.8515	24.8019	668.487	405.747	8.28109	0.923448	22.2062	8.41788
sigmoid	1	1e-05	0.1	auto	1	1e-05	94.1201	19.701	190.663	183.105	9.38387	1.03181	12.0424	4.85721
sigmoid	1	1e-05	0.1	scale	1	1e-05	106.138	28.1696	1004.82	990.226	9.35747	1.13083	24.6504	14.5882
sigmoid	1	1e-05	0.01	auto	1	1e-05	53.3026	16.569	557.896	492.636	6.19252	0.799576	18.9222	10.0144
rbf	1	1e-05	0.01	auto	1	1e-05	51.2063	12.5835	815.897	651.559	6.15245	0.346283	23.3264	11.0978
rbf	1	0.001	0.001	scale	1	1e-07	53.9494	2.01032	1608.62	336.266	6.68669	0.250252	35.3198	4.5469
sigmoid	1	1e-05	0.01	scale	1	1e-05	56.5128	4.77381	982.679	738.302	6.25508	0.312914	25.3251	9.40669
rbf	1	1e-05	0.001	auto	1	1e-05	47.3159	10.3	1354.57	529.487	5.68433	0.301842	32.4399	8.9467
