  features    samples    backtracking 1 it    backtracking 1 f_gap    backtracking 1 time    backtracking 0.1 it    backtracking 0.1 f_gap    backtracking 0.1 time    backtracking 0.01 it    backtracking 0.01 f_gap    backtracking 0.01 time    backtracking 0.0001 it    backtracking 0.0001 f_gap    backtracking 0.0001 time    backtracking 1e-08 it    backtracking 1e-08 f_gap    backtracking 1e-08 time
----------  ---------  -------------------  ----------------------  ---------------------  ---------------------  ------------------------  -----------------------  ----------------------  -------------------------  ------------------------  ------------------------  ---------------------------  --------------------------  -----------------------  --------------------------  -------------------------
        10        200             5.10e+01                1.51e-05               1.67e-01               4.30e+01                  2.66e-04                 1.53e-01                3.70e+01                   7.30e-04                  1.46e-01                  3.70e+01                     7.30e-04                    1.45e-01                 3.70e+01                    7.30e-04                   1.47e-01
        50        200             5.00e+01                5.58e-06               1.85e-01               4.60e+01                  1.94e-05                 1.76e-01                4.60e+01                   1.94e-05                  1.80e-01                  4.60e+01                     1.94e-05                    1.79e-01                 4.60e+01                    1.94e-05                   1.78e-01
       100        100             3.00e+01                1.23e-05               6.48e-02               3.70e+01                  1.85e-05                 7.05e-02                3.70e+01                   1.85e-05                  7.08e-02                  3.70e+01                     1.85e-05                    7.03e-02                 3.70e+01                    1.85e-05                   7.28e-02
       100        500             4.60e+01                2.29e-06               8.46e-01               4.00e+01                  2.24e-04                 8.16e-01                3.80e+01                   6.64e-04                  8.14e-01                  3.80e+01                     6.64e-04                    8.40e-01                 3.80e+01                    6.64e-04                   8.22e-01
       200        500             4.70e+01                1.15e-06               8.95e-01               3.80e+01                  6.89e-05                 8.54e-01                3.80e+01                   6.89e-05                  8.38e-01                  3.80e+01                     6.89e-05                    8.42e-01                 3.80e+01                    6.89e-05                   8.39e-01
       300       1000             4.50e+01                7.46e-07               5.27e+00               5.30e+01                  2.55e-06                 5.39e+00                4.30e+01                   3.11e-05                  5.38e+00                  4.30e+01                     3.11e-05                    5.18e+00                 4.30e+01                    3.11e-05                   5.17e+00
