  features    samples    exact 1 it    exact 1 f_gap    exact 1 time    exact 0.1 it    exact 0.1 f_gap    exact 0.1 time    exact 0.01 it    exact 0.01 f_gap    exact 0.01 time    exact 0.0001 it    exact 0.0001 f_gap    exact 0.0001 time    exact 1e-08 it    exact 1e-08 f_gap    exact 1e-08 time
----------  ---------  ------------  ---------------  --------------  --------------  -----------------  ----------------  ---------------  ------------------  -----------------  -----------------  --------------------  -------------------  ----------------  -------------------  ------------------
        10        200      4.80e+01         1.01e-05        1.50e-01        3.40e+01           5.87e-04          1.37e-01         3.40e+01            5.87e-04           1.35e-01           3.40e+01              5.87e-04             1.37e-01          3.40e+01             5.87e-04            1.39e-01
        50        200      4.10e+01         1.73e-06        1.72e-01        3.50e+01           3.15e-05          2.40e-01         3.50e+01            3.15e-05           1.54e-01           3.50e+01              3.15e-05             1.69e-01          3.50e+01             3.15e-05            1.57e-01
       100        100      1.70e+01         2.89e-05        5.06e-02        2.00e+01           8.05e-06          5.55e-02         2.00e+01            8.05e-06           5.68e-02           2.00e+01              8.05e-06             1.64e-01          2.00e+01             8.05e-06            5.98e-02
       100        500      4.40e+01         1.23e-06        9.97e-01        3.50e+01           6.78e-05          8.83e-01         3.50e+01            6.78e-05           1.07e+00           3.50e+01              6.78e-05             1.10e+00          3.50e+01             6.78e-05            9.14e-01
       200        500      3.80e+01         1.65e-07        8.60e-01        2.70e+01           8.74e-06          8.33e-01         2.70e+01            8.74e-06           1.04e+00           2.70e+01              8.74e-06             8.89e-01          2.70e+01             8.74e-06            1.23e+00
       300       1000      4.50e+01         3.00e-07        7.55e+00        4.10e+01           5.19e-07          6.56e+00         4.10e+01            5.19e-07           6.18e+00           4.10e+01              5.19e-07             5.93e+00          4.10e+01             5.19e-07            4.82e+00
