  features    samples    exact 1 it    exact 1 f_gap    exact 1 time    exact 0.1 it    exact 0.1 f_gap    exact 0.1 time    exact 0.01 it    exact 0.01 f_gap    exact 0.01 time    exact 0.0001 it    exact 0.0001 f_gap    exact 0.0001 time    exact 1e-08 it    exact 1e-08 f_gap    exact 1e-08 time
----------  ---------  ------------  ---------------  --------------  --------------  -----------------  ----------------  ---------------  ------------------  -----------------  -----------------  --------------------  -------------------  ----------------  -------------------  ------------------
        10        200      1.00e+02         2.82e-02        2.16e-01        1.00e+02           1.43e-04          2.13e-01         1.00e+02            2.19e-02           2.02e-01           1.00e+02              2.19e-02             2.05e-01          1.00e+02             2.19e-02            2.06e-01
        50        200      3.80e+01         8.66e-07        1.60e-01        2.80e+01           1.25e-04          1.56e-01         2.70e+01            1.44e-04           1.52e-01           2.70e+01              1.44e-04             1.60e-01          2.70e+01             1.44e-04            1.58e-01
       100        100      1.70e+01         3.42e-06        5.08e-02        1.10e+01           9.15e-08          4.49e-02         1.10e+01            9.15e-08           4.89e-02           1.10e+01              9.15e-08             4.39e-02          1.10e+01             9.15e-08            4.59e-02
       100        500      4.50e+01         3.92e-06        9.72e-01        3.30e+01           1.07e-04          9.03e-01         2.70e+01            3.63e-04           9.50e-01           2.70e+01              3.63e-04             8.68e-01          2.70e+01             3.63e-04            8.78e-01
       200        500      3.60e+01         4.31e-06        9.26e-01        2.80e+01           3.25e-06          8.85e-01         2.80e+01            3.25e-06           8.73e-01           2.80e+01              3.25e-06             8.81e-01          2.80e+01             3.25e-06            8.60e-01
       300       1000      4.00e+01         2.21e-08        5.78e+00        5.80e+01           5.61e-07          7.21e+00         4.60e+01            2.41e-04           5.78e+00           4.60e+01              2.44e-04             6.05e+00          4.60e+01             2.44e-04            6.16e+00
