  features    samples    backtracking 1 it    backtracking 1 f_gap    backtracking 1 time    backtracking 0.1 it    backtracking 0.1 f_gap    backtracking 0.1 time    backtracking 0.01 it    backtracking 0.01 f_gap    backtracking 0.01 time    backtracking 0.0001 it    backtracking 0.0001 f_gap    backtracking 0.0001 time    backtracking 1e-08 it    backtracking 1e-08 f_gap    backtracking 1e-08 time
----------  ---------  -------------------  ----------------------  ---------------------  ---------------------  ------------------------  -----------------------  ----------------------  -------------------------  ------------------------  ------------------------  ---------------------------  --------------------------  -----------------------  --------------------------  -------------------------
        10        200             5.70e+01                1.80e-05               2.16e-01               2.50e+01                  6.33e-04                 1.58e-01                2.50e+01                   6.33e-04                  1.57e-01                  2.50e+01                     6.33e-04                    1.52e-01                 2.50e+01                    6.33e-04                   1.74e-01
        50        200             4.30e+01                1.68e-06               2.15e-01               3.80e+01                  2.31e-04                 2.02e-01                3.80e+01                   2.43e-04                  2.09e-01                  3.80e+01                     2.43e-04                    2.13e-01                 3.80e+01                    2.43e-04                   1.93e-01
       100        100             2.60e+01                1.26e-06               8.28e-02               4.00e+01                  1.67e-06                 9.63e-02                4.00e+01                   1.67e-06                  9.08e-02                  4.00e+01                     1.67e-06                    8.98e-02                 4.00e+01                    1.67e-06                   8.68e-02
       100        500             5.10e+01                5.94e-06               1.18e+00               4.30e+01                  1.52e-04                 1.04e+00                4.30e+01                   1.54e-04                  1.20e+00                  4.30e+01                     1.54e-04                    1.47e+00                 4.30e+01                    1.54e-04                   1.29e+00
       200        500             4.30e+01                3.71e-06               1.41e+00               4.10e+01                  1.85e-05                 1.25e+00                4.10e+01                   1.85e-05                  1.03e+00                  4.10e+01                     1.85e-05                    9.93e-01                 4.10e+01                    1.85e-05                   9.71e-01
       300       1000             4.80e+01                7.45e-07               6.38e+00               4.40e+01                  5.49e-05                 6.35e+00                4.40e+01                   5.69e-05                  6.27e+00                  4.40e+01                     5.69e-05                    6.30e+00                 4.40e+01                    5.69e-05                   6.34e+00
