  Monk	Kernel  	Gamma  	  Degree	    C	  opt tol	  train mse	  test mse	  train acc	  test acc
     2	poly    	scale  	       7	  5  	    0.001	   0.443787	  0.456019	   0.556213	  0.543981
     2	linear  	scale  	       1	  5  	    0.001	   0.408284	  0.412037	   0.591716	  0.587963
     2	rbf     	auto   	       1	  5  	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	scale  	       1	  5  	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       3	  5  	    1e-08	   0.431953	  0.444444	   0.568047	  0.555556
     2	poly    	scale  	       5	  5  	    1e-08	   0.443787	  0.456019	   0.556213	  0.543981
     2	poly    	scale  	       7	  5  	    1e-08	   0.443787	  0.456019	   0.556213	  0.543981
     2	linear  	scale  	       1	  5  	    1e-08	   0.408284	  0.412037	   0.591716	  0.587963
     2	rbf     	auto   	       1	 10  	    0.1  	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	scale  	       1	 10  	    0.1  	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       3	 10  	    0.1  	   0.420118	  0.44213 	   0.579882	  0.55787
     2	poly    	scale  	       5	 10  	    0.1  	   0.443787	  0.456019	   0.556213	  0.543981
     2	poly    	scale  	       7	 10  	    0.1  	   0.443787	  0.456019	   0.556213	  0.543981
     2	linear  	scale  	       1	 10  	    0.1  	   0.414201	  0.453704	   0.585799	  0.546296
     2	rbf     	auto   	       1	 10  	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	scale  	       1	 10  	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       3	 10  	    0.001	   0.420118	  0.44213 	   0.579882	  0.55787
     2	poly    	scale  	       5	 10  	    0.001	   0.443787	  0.456019	   0.556213	  0.543981
     2	poly    	scale  	       7	 10  	    0.001	   0.443787	  0.456019	   0.556213	  0.543981
     2	linear  	scale  	       1	 10  	    0.001	   0.414201	  0.453704	   0.585799	  0.546296
     2	rbf     	auto   	       1	 10  	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	scale  	       1	 10  	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       3	 10  	    1e-08	   0.420118	  0.44213 	   0.579882	  0.55787
     2	poly    	scale  	       5	 10  	    1e-08	   0.443787	  0.456019	   0.556213	  0.543981
     2	poly    	scale  	       7	 10  	    1e-08	   0.443787	  0.456019	   0.556213	  0.543981
     2	linear  	scale  	       1	 10  	    1e-08	   0.414201	  0.453704	   0.585799	  0.546296
     2	rbf     	auto   	       1	 50  	    0.1  	   0.35503 	  0.324074	   0.64497 	  0.675926
     2	rbf     	scale  	       1	 50  	    0.1  	   0.266272	  0.328704	   0.733728	  0.671296
     2	poly    	scale  	       3	 50  	    0.1  	   0.43787 	  0.469907	   0.56213 	  0.530093
     2	poly    	scale  	       5	 50  	    0.1  	   0.443787	  0.460648	   0.556213	  0.539352
     2	poly    	scale  	       7	 50  	    0.1  	   0.443787	  0.462963	   0.556213	  0.537037
     2	linear  	scale  	       1	 50  	    0.1  	   0.431953	  0.469907	   0.568047	  0.530093
     2	rbf     	auto   	       1	 50  	    0.001	   0.35503 	  0.324074	   0.64497 	  0.675926
     2	rbf     	scale  	       1	 50  	    0.001	   0.266272	  0.328704	   0.733728	  0.671296
     2	poly    	scale  	       3	 50  	    0.001	   0.43787 	  0.469907	   0.56213 	  0.530093
     2	poly    	scale  	       5	 50  	    0.001	   0.443787	  0.460648	   0.556213	  0.539352
     2	poly    	scale  	       7	 50  	    0.001	   0.443787	  0.462963	   0.556213	  0.537037
     2	linear  	scale  	       1	 50  	    0.001	   0.431953	  0.469907	   0.568047	  0.530093
     2	rbf     	auto   	       1	 50  	    1e-08	   0.35503 	  0.324074	   0.64497 	  0.675926
     2	rbf     	scale  	       1	 50  	    1e-08	   0.266272	  0.328704	   0.733728	  0.671296
