Kernel  	  C	  eps	gamma  	  degree	  opt tol	   train avg mse	   train std mse	    test avg mse	    test std mse	  train avg mae	  train std mae	  test avg mae	  test std mae	  train avg mee	  train std mee	  test avg mee	  test std mee
rbf     	 10	0.1  	auto   	       1	    0.1  	328198          	201250          	508337          	451048          	        337.291	       118.619 	       427.916	       258.93 	        676.463	        515.116	       857.602	       515.116
rbf     	 10	0.1  	scale  	       1	    0.1  	328771          	199587          	509387          	451756          	        337.88 	       117.967 	       428.449	       259.032	        677.645	        515.341	       858.654	       515.341
poly    	 10	0.1  	scale  	       3	    0.1  	 98222          	 25576.8        	147799          	130406          	        188.532	        28.3268	       229.329	       128.789	        384.493	        257.734	       458.263	       257.734
poly    	 10	0.1  	scale  	       7	    0.1  	113207          	 34609.4        	157181          	120606          	        197.054	        32.4749	       238.335	       115.173	        406.357	        229.771	       477.123	       229.771
linear  	 10	0.1  	scale  	       1	    0.1  	 96045.9        	 29114.8        	145185          	125655          	        186.769	        30.4304	       232.141	       124.858	        377.365	        249.195	       464.581	       249.195
rbf     	 10	0.01 	auto   	       1	    0.1  	302800          	187406          	513422          	430160          	        321.956	       115.676 	       436.792	       244.634	        646.353	        488.21 	       874.149	       488.21
rbf     	 10	0.01 	scale  	       1	    0.1  	300991          	185267          	510242          	426242          	        321.086	       114.635 	       435.66 	       243.682	        644.559	        486.3  	       871.879	       486.3
poly    	 10	0.01 	scale  	       3	    0.1  	 99350.6        	 28934          	149296          	126088          	        188.324	        30.0961	       234.034	       123.086	        384.266	        246.264	       467.92 	       246.264
poly    	 10	0.01 	scale  	       7	    0.1  	118770          	 30163          	165243          	121167          	        201.399	        28.1677	       241.273	       110.684	        415.255	        220.937	       483.059	       220.937
linear  	 10	0.01 	scale  	       1	    0.1  	 95949.8        	 29858.8        	145708          	125797          	        186.136	        30.5627	       234.518	       122.853	        376.585	        245.217	       469.413	       245.217
rbf     	 10	0.001	auto   	       1	    0.1  	307110          	202910          	512763          	442043          	        323.289	       122.26  	       434.75 	       249.837	        648.969	        499.012	       869.804	       499.012
rbf     	 10	0.001	scale  	       1	    0.1  	304278          	194676          	511567          	439620          	        322.42 	       118.772 	       435.248	       247.679	        647.226	        494.703	       870.794	       494.703
poly    	 10	0.001	scale  	       3	    0.1  	 99654.8        	 30683.3        	149825          	124696          	        188.582	        31.1237	       234.861	       122.466	        384.681	        244.848	       469.73 	       244.848
poly    	 10	0.001	scale  	       7	    0.1  	118295          	 41427.6        	167748          	119622          	        200.171	        35.0548	       247.505	       111.293	        412.445	        222.099	       495.714	       222.099
linear  	 10	0.001	scale  	       1	    0.1  	 96337.3        	 29863.4        	146093          	125721          	        186.553	        30.4836	       234.483	       122.804	        377.137	        245.119	       469.342	       245.119
rbf     	 10	0.1  	auto   	       1	    0.001	340547          	231099          	531443          	480867          	        342.389	       132.899 	       436.226	       269.878	        686.444	        538.317	       873.344	       538.317
rbf     	 10	0.1  	scale  	       1	    0.001	343427          	231617          	533374          	486422          	        344.284	       132.581 	       435.971	       271.785	        690.245	        541.884	       873.024	       541.884
poly    	 10	0.1  	scale  	       3	    0.001	 93161.2        	 25294.7        	141285          	129429          	        185.561	        29.3479	       224.079	       133.506	        377.081	        266.549	       448.401	       266.549
poly    	 10	0.1  	scale  	       7	    0.001	 98199.7        	 29068.8        	138384          	123170          	        188.106	        31.0989	       222.325	       125.746	        386.354	        251.169	       444.843	       251.169
linear  	 10	0.1  	scale  	       1	    0.001	 92009.7        	 25335.4        	140431          	128989          	        185.475	        29.6717	       223.505	       135.207	        374.091	        269.944	       447.255	       269.944
rbf     	 10	0.01 	auto   	       1	    0.001	290937          	178068          	503581          	419407          	        316.016	       112.438 	       434.384	       244.769	        633.899	        488.395	       869.467	       488.395
rbf     	 10	0.01 	scale  	       1	    0.001	294422          	181249          	506102          	425372          	        318.258	       113.965 	       434.337	       247.972	        638.259	        494.733	       869.343	       494.733
poly    	 10	0.01 	scale  	       3	    0.001	 94223.7        	 26344.2        	142886          	128021          	        185.948	        29.6895	       226.588	       130.553	        377.956	        260.817	       453.383	       260.817
poly    	 10	0.01 	scale  	       7	    0.001	 99941.4        	 29859.4        	140715          	117637          	        188.515	        31.3588	       225.284	       120.723	        387.64 	        241.283	       450.61 	       241.283
linear  	 10	0.01 	scale  	       1	    0.001	 93448.5        	 27057.2        	142541          	127437          	        185.539	        29.8789	       228.831	       129    	        374.663	        257.486	       458.027	       257.486
rbf     	 10	0.001	auto   	       1	    0.001	286415          	176205          	488686          	417361          	        313.205	       110.515 	       425.692	       244.979	        628.208	        488.967	       851.916	       488.967
rbf     	 10	0.001	scale  	       1	    0.001	294514          	186704          	503336          	432225          	        317.539	       116.148 	       432.222	       248.211	        636.867	        495.502	       864.931	       495.502
poly    	 10	0.001	scale  	       3	    0.001	 93815.9        	 26489          	142263          	128243          	        185.591	        29.628 	       226.464	       130.657	        377.258	        261.071	       453.08 	       261.071
poly    	 10	0.001	scale  	       7	    0.001	 97548.4        	 28229.5        	142793          	124892          	        187.019	        29.8957	       226.917	       124.837	        384.423	        249.318	       454.108	       249.318
linear  	 10	0.001	scale  	       1	    0.001	 92601.2        	 25991.7        	141553          	128349          	        185.49 	        29.7816	       225.992	       132.491	        374.381	        264.255	       452.501	       264.255
rbf     	100	0.1  	auto   	       1	    0.1  	     1.00608e+07	     9.06524e+06	     1.07823e+07	     9.73527e+06	       1923.69 	      1106.84  	      1962.72 	      1223.56 	       3848.32 	       2444.99 	      3927.11 	      2444.99
rbf     	100	0.1  	scale  	       1	    0.1  	     1.09865e+07	     7.57437e+06	     1.21465e+07	     9.01908e+06	       2040.64 	      1019.18  	      2070.58 	      1231.16 	       4081.5  	       2460.72 	      4141.9  	      2460.72
poly    	100	0.1  	scale  	       3	    0.1  	138174          	 55968          	192122          	183923          	        218.837	        41.0603	       236.076	       141.481	        445.743	        282.416	       473.362	       282.416
poly    	100	0.1  	scale  	       7	    0.1  	237548          	194856          	289622          	298468          	        273.194	       120.202 	       296.835	       147.265	        558.569	        297.066	       593.869	       297.066
linear  	100	0.1  	scale  	       1	    0.1  	107944          	 17461.9        	155221          	137170          	        196.903	        19.3603	       230.543	       123.267	        396.92 	        246.242	       461.072	       246.242
rbf     	100	0.01 	auto   	       1	    0.1  	     7.13163e+06	     5.64802e+06	     7.74527e+06	     6.00304e+06	       1646.86 	       879.36  	      1703.39 	       964.626	       3294.3  	       1929.32 	      3406.56 	      1929.32
rbf     	100	0.01 	scale  	       1	    0.1  	     6.43603e+06	     5.08639e+06	     6.96791e+06	     5.2897e+06 	       1565.14 	       807.581 	      1601.98 	       920.768	       3130.49 	       1842.53 	      3203.18 	      1842.53
poly    	100	0.01 	scale  	       3	    0.1  	110568          	 26208          	160089          	137404          	        197.033	        25.5499	       235.506	       120.678	        401.786	        241.056	       471.174	       241.056
poly    	100	0.01 	scale  	       7	    0.1  	206621          	106580          	271120          	230994          	        257.042	        61.908 	       283.811	       140.83 	        526.287	        281.479	       567.09 	       281.479
linear  	100	0.01 	scale  	       1	    0.1  	148856          	 90878.5        	190129          	190892          	        222.485	        59.2779	       245.281	       140.946	        447.877	        281.871	       490.666	       281.871
