  features    samples    exact 1 it    exact 1 f_gap    exact 1 time    exact 0.1 it    exact 0.1 f_gap    exact 0.1 time    exact 0.01 it    exact 0.01 f_gap    exact 0.01 time    exact 0.0001 it    exact 0.0001 f_gap    exact 0.0001 time    exact 1e-08 it    exact 1e-08 f_gap    exact 1e-08 time
----------  ---------  ------------  ---------------  --------------  --------------  -----------------  ----------------  ---------------  ------------------  -----------------  -----------------  --------------------  -------------------  ----------------  -------------------  ------------------
        10        200      4.30e+01         3.02e-05        1.56e-01        3.40e+01           4.52e-04          1.33e-01         3.40e+01            4.55e-04           1.91e-01           3.40e+01              4.55e-04             1.34e-01          3.40e+01             4.55e-04            1.31e-01
        50        200      4.10e+01         1.05e-06        1.63e-01        3.90e+01           2.49e-06          1.59e-01         3.90e+01            2.49e-06           2.40e-01           3.90e+01              2.49e-06             1.84e-01          3.90e+01             2.49e-06            1.87e-01
       100        100      1.70e+01         1.22e-05        5.39e-02        2.00e+01           4.39e-06          5.59e-02         2.00e+01            4.39e-06           5.68e-02           2.00e+01              4.39e-06             5.54e-02          2.00e+01             4.39e-06            5.68e-02
       100        500      4.20e+01         2.26e-06        9.72e-01        3.50e+01           2.83e-05          9.41e-01         3.50e+01            2.67e-05           9.15e-01           3.50e+01              2.67e-05             9.10e-01          3.50e+01             2.67e-05            9.18e-01
       200        500      3.50e+01         2.38e-07        9.03e-01        3.20e+01           1.04e-06          9.10e-01         3.20e+01            1.04e-06           9.02e-01           3.20e+01              1.04e-06             8.90e-01          3.20e+01             1.04e-06            8.89e-01
       300       1000      4.50e+01         7.66e-07        5.83e+00        4.00e+01           4.12e-07          4.86e+00         4.00e+01            4.12e-07           6.39e+00           4.00e+01              4.12e-07             6.65e+00          4.00e+01             4.12e-07            8.04e+00
