  features    samples    backtracking 1 it    backtracking 1 f_gap    backtracking 1 time    backtracking 0.1 it    backtracking 0.1 f_gap    backtracking 0.1 time    backtracking 0.01 it    backtracking 0.01 f_gap    backtracking 0.01 time    backtracking 0.0001 it    backtracking 0.0001 f_gap    backtracking 0.0001 time    backtracking 1e-08 it    backtracking 1e-08 f_gap    backtracking 1e-08 time
----------  ---------  -------------------  ----------------------  ---------------------  ---------------------  ------------------------  -----------------------  ----------------------  -------------------------  ------------------------  ------------------------  ---------------------------  --------------------------  -----------------------  --------------------------  -------------------------
        10        200             4.40e+01                2.76e-05               1.58e-01               3.50e+01                  2.35e-04                 1.56e-01                3.50e+01                   2.35e-04                  1.52e-01                  3.50e+01                     2.35e-04                    1.73e-01                 3.50e+01                    2.35e-04                   1.72e-01
        50        200             4.70e+01                9.19e-06               2.14e-01               3.80e+01                  1.74e-04                 1.97e-01                3.80e+01                   1.74e-04                  1.76e-01                  3.80e+01                     1.74e-04                    1.74e-01                 3.80e+01                    1.74e-04                   1.74e-01
       100        100             3.00e+01                2.14e-06               7.38e-02               4.00e+01                  3.52e-06                 7.98e-02                4.00e+01                   3.52e-06                  7.48e-02                  4.00e+01                     3.52e-06                    8.74e-02                 4.00e+01                    3.52e-06                   7.98e-02
       100        500             5.30e+01                2.22e-06               1.15e+00               4.50e+01                  4.71e-05                 1.14e+00                4.50e+01                   4.71e-05                  1.09e+00                  4.50e+01                     4.71e-05                    1.01e+00                 4.50e+01                    4.71e-05                   1.08e+00
       200        500             3.90e+01                2.15e-06               1.01e+00               4.10e+01                  1.85e-05                 1.05e+00                4.10e+01                   1.85e-05                  1.06e+00                  4.10e+01                     1.85e-05                    1.11e+00                 4.10e+01                    1.85e-05                   1.10e+00
       300       1000             4.50e+01                1.52e-06               6.77e+00               4.70e+01                  8.64e-06                 6.72e+00                3.40e+01                   1.68e-04                  6.37e+00                  3.40e+01                     1.68e-04                    6.27e+00                 3.40e+01                    1.68e-04                   9.53e+00
