  features    samples    exact 1 it    exact 1 f_gap    exact 1 time    exact 0.1 it    exact 0.1 f_gap    exact 0.1 time    exact 0.01 it    exact 0.01 f_gap    exact 0.01 time    exact 0.0001 it    exact 0.0001 f_gap    exact 0.0001 time    exact 1e-08 it    exact 1e-08 f_gap    exact 1e-08 time
----------  ---------  ------------  ---------------  --------------  --------------  -----------------  ----------------  ---------------  ------------------  -----------------  -----------------  --------------------  -------------------  ----------------  -------------------  ------------------
        10        200      7.90e+01         6.40e-05        2.06e-01        4.20e+01           9.15e-04          1.51e-01         2.80e+01            4.33e-03           1.39e-01           2.80e+01              4.34e-03             1.30e-01          2.80e+01             4.34e-03            1.32e-01
        50        200      4.60e+01         6.42e-06        1.84e-01        3.10e+01           3.48e-04          1.61e-01         3.10e+01            3.54e-04           1.64e-01           3.10e+01              3.54e-04             1.55e-01          3.10e+01             3.54e-04            1.60e-01
       100        100      1.70e+01         3.81e-06        5.09e-02        1.80e+01           4.11e-06          5.39e-02         1.80e+01            4.11e-06           4.85e-02           1.80e+01              4.11e-06             5.19e-02          1.80e+01             4.11e-06            5.29e-02
       100        500      6.10e+01         4.92e-06        1.09e+00        3.60e+01           3.79e-04          1.00e+00         3.60e+01            3.85e-04           9.31e-01           3.60e+01              3.86e-04             9.85e-01          3.60e+01             3.86e-04            9.23e-01
       200        500      3.50e+01         2.30e-06        9.25e-01        2.80e+01           9.24e-05          8.77e-01         2.80e+01            9.38e-05           8.57e-01           2.80e+01              9.38e-05             8.84e-01          2.80e+01             9.38e-05            8.73e-01
       300       1000      4.60e+01         1.38e-06        5.74e+00        3.90e+01           3.40e-05          5.71e+00         3.30e+01            1.70e-04           5.59e+00           3.30e+01              1.70e-04             5.64e+00          3.30e+01             1.70e-04            5.56e+00
