  features    samples    exact 1 it    exact 1 f_gap    exact 1 time    exact 0.1 it    exact 0.1 f_gap    exact 0.1 time    exact 0.01 it    exact 0.01 f_gap    exact 0.01 time    exact 0.0001 it    exact 0.0001 f_gap    exact 0.0001 time    exact 1e-08 it    exact 1e-08 f_gap    exact 1e-08 time
----------  ---------  ------------  ---------------  --------------  --------------  -----------------  ----------------  ---------------  ------------------  -----------------  -----------------  --------------------  -------------------  ----------------  -------------------  ------------------
        10        200      5.10e+01         3.06e-05        1.51e-01        5.00e+01           5.27e-05          1.50e-01         3.40e+01            1.39e-03           1.34e-01           3.40e+01              1.39e-03             1.32e-01          3.40e+01             1.39e-03            1.32e-01
        50        200      3.80e+01         7.76e-07        1.54e-01        3.20e+01           2.14e-04          1.50e-01         3.20e+01            2.28e-04           1.49e-01           3.20e+01              2.29e-04             1.46e-01          3.20e+01             2.29e-04            1.49e-01
       100        100      1.70e+01         6.94e-06        4.89e-02        1.80e+01           7.55e-06          4.99e-02         1.80e+01            7.55e-06           4.99e-02           1.80e+01              7.55e-06             4.89e-02          1.80e+01             7.55e-06            4.89e-02
       100        500      4.60e+01         6.18e-06        1.69e+00        4.10e+01           4.04e-05          1.20e+00         1.00e+02            8.98e-02           1.34e+00           1.00e+02              8.98e-02             1.17e+00          1.00e+02             8.98e-02            1.19e+00
       200        500      3.40e+01         1.04e-06        9.60e-01        3.20e+01           6.75e-08          8.61e-01         3.20e+01            6.75e-08           1.20e+00           3.20e+01              6.75e-08             9.60e-01          3.20e+01             6.75e-08            8.17e-01
       300       1000      3.50e+01         3.93e-07        5.12e+00        3.80e+01           4.66e-07          5.57e+00         3.80e+01            4.66e-07           5.25e+00           3.80e+01              4.66e-07             4.93e+00          3.80e+01             4.66e-07            4.97e+00
